idx,image_id,captured_at,year,lat,lon,compass_angle,is_pano,width,height,creator_username,sequence,source_url,license,path
85,1441365856211807,2016-08-02T16:27:57.379000+00:00,2016,34.049263,-118.438935,248.3221,False,3264,2448,mapkin,kl1929vl76tg8etftt2sy6,https://www.mapillary.com/app/?pKey=1441365856211807,CC BY-SA 4.0,images/1441365856211807.jpg
86,341139454036691,2018-11-30T16:52:44.774000+00:00,2018,34.048893315568,-118.4393103097,72.150382995605,False,1920,1080,lvl5,riavrogvxztw2zy182sn9k,https://www.mapillary.com/app/?pKey=341139454036691,CC BY-SA 4.0,images/341139454036691.jpg
87,1065210297843705,2023-12-12T20:23:14.675000+00:00,2023,34.062600893541,-118.44490037525,15.934696471505,False,4032,3024,filipb,NlfdLXGVBcY3QjkFbwD8vp,https://www.mapillary.com/app/?pKey=1065210297843705,CC BY-SA 4.0,images/1065210297843705.jpg
88,2044110239499269,2026-02-24T12:10:25.998000+00:00,2026,34.05443278,-118.45114584,128.87956935889,False,3840,2160,aHS,bTecfEJNQs39gFILrXDHiK,https://www.mapillary.com/app/?pKey=2044110239499269,CC BY-SA 4.0,images/2044110239499269.jpg
89,985372355536365,2018-11-30T16:53:43.619000+00:00,2018,34.049517878786,-118.43723434206,64.441032409668,False,1920,1080,lvl5,uskzyz2uf6rzkpayjg5y4e,https://www.mapillary.com/app/?pKey=985372355536365,CC BY-SA 4.0,images/985372355536365.jpg
90,396772478071175,2019-04-15T00:00:12.884000+00:00,2019,34.052039348054,-118.44936730161,342.19189453125,False,1920,1080,lvl5,7yrkw9dh7u5m5heaxk9lk1,https://www.mapillary.com/app/?pKey=396772478071175,CC BY-SA 4.0,images/396772478071175.jpg
91,2230956613702624,2017-06-14T09:53:58+00:00,2017,34.048948055556,-118.43623638889,234.53716433256,False,1920,1080,mly_la,o0a5VrO0Xabe6uyWFt_gIg,https://www.mapillary.com/app/?pKey=2230956613702624,CC BY-SA 4.0,images/2230956613702624.jpg
92,575418146712243,2016-08-30T21:07:36.558000+00:00,2016,34.059173,-118.454216,225.1855,False,4032,3024,cscrivens,XnXDWLtuAVeEkmeYuOftng,https://www.mapillary.com/app/?pKey=575418146712243,CC BY-SA 4.0,images/575418146712243.jpg
93,307328474308218,2019-01-01T00:30:54.622000+00:00,2019,34.045796897032,-118.44553986155,323.64776611328,False,1920,1080,lvl5,0e60b7cw2kx125ejqfwp0w,https://www.mapillary.com/app/?pKey=307328474308218,CC BY-SA 4.0,images/307328474308218.jpg
94,887620268751343,2017-07-17T23:54:25.796000+00:00,2017,34.047682504545,-118.44700255701,34.321216583252,False,3264,2448,aqua01,ZbvbFxeUI1eEljgoQPpodQ,https://www.mapillary.com/app/?pKey=887620268751343,CC BY-SA 4.0,images/887620268751343.jpg
95,1146404712503699,2019-12-22T22:08:40.240000+00:00,2019,34.057025,-118.454044,154.80322265625,False,4032,3024,ericaschecter,ego0png48b2jd7j2z5sqgl,https://www.mapillary.com/app/?pKey=1146404712503699,CC BY-SA 4.0,images/1146404712503699.jpg
96,185953243398239,2018-07-30T19:20:14.332000+00:00,2018,34.045278715422,-118.44495899909,324.4921875,False,1920,1080,lvl5,s4ev2r4pvn33nzr2yapmb3,https://www.mapillary.com/app/?pKey=185953243398239,CC BY-SA 4.0,images/185953243398239.jpg
97,304818287791740,2019-01-01T00:31:28.021000+00:00,2019,34.054140587045,-118.45063633306,327.49111938477,False,1920,1080,lvl5,91zh0attnd7kftqp5wmyul,https://www.mapillary.com/app/?pKey=304818287791740,CC BY-SA 4.0,images/304818287791740.jpg
98,765088800852296,2017-11-02T20:23:09.700000+00:00,2017,34.06413177714,-118.44112550704,57.334518432617,False,1920,1080,lvl5,jat5t5g7lennhlroe1cdlv,https://www.mapillary.com/app/?pKey=765088800852296,CC BY-SA 4.0,images/765088800852296.jpg
99,905547420012178,2019-01-01T00:31:44.428000+00:00,2019,34.057873619208,-118.45372943353,326.63708496094,False,1920,1080,lvl5,91zh0attnd7kftqp5wmyul,https://www.mapillary.com/app/?pKey=905547420012178,CC BY-SA 4.0,images/905547420012178.jpg
